filename	topic	identifier
corpus\beda001.txt	1	beda001
corpus\beec001.txt	0	beec001
corpus\beec004.txt	1	beec004
corpus\beek001.txt	0	beek001
corpus\beek007.txt	-1	beek007
corpus\beek008.txt	0	beek008
corpus\beek009.txt	-1	beek009
corpus\beek019.txt	1	beek019
corpus\beek020.txt	1	beek020
corpus\beek024.txt	-1	beek024
corpus\beek064.txt	-1	beek064
corpus\beel004.txt	0	beel004
corpus\beel011.txt	24	beel011
corpus\beel021.txt	4	beel021
corpus\been001.txt	25	been001
corpus\been019.txt	0	been019
corpus\beer004.txt	-1	beer004
corpus\beer008.txt	0	beer008
corpus\beer009.txt	32	beer009
corpus\beer024.txt	19	beer024
corpus\beet002.txt	1	beet002
corpus\beet005.txt	0	beet005
corpus\beet011.txt	1	beet011
corpus\bege008.txt	29	bege008
corpus\behe001.txt	3	behe001
corpus\beij009.txt	35	beij009
corpus\beij038.txt	41	beij038
corpus\bein008.txt	-1	bein008
corpus\beir003.txt	8	beir003
corpus\bejc001.txt	2	bejc001
corpus\beka001.txt	-1	beka001
corpus\beka003.txt	-1	beka003
corpus\beka007.txt	12	beka007
corpus\bekk004.txt	-1	bekk004
corpus\bekk008.txt	9	bekk008
corpus\beld002.txt	0	beld002
corpus\beli005.txt	-1	beli005
corpus\belj001.txt	2	belj001
corpus\bell006.txt	3	bell006
corpus\belp001.txt	2	belp001
corpus\belp005.txt	0	belp005
corpus\bel_002.txt	-1	bel_002
corpus\bemm007.txt	-1	bemm007
corpus\bemm008.txt	-1	bemm008
corpus\bemm009.txt	2	bemm009
corpus\bena006.txt	0	bena006
corpus\bend005.txt	-1	bend005
corpus\bend006.txt	0	bend006
corpus\bend012.txt	-1	bend012
corpus\bend015.txt	41	bend015
corpus\bend023.txt	0	bend023
corpus\beno001.txt	0	beno001
corpus\beno002.txt	-1	beno002
corpus\bent004.txt	0	bent004
corpus\bent005.txt	2	bent005
corpus\bent007.txt	3	bent007
corpus\bent048.txt	-1	bent048
corpus\bent049.txt	-1	bent049
corpus\bent067.txt	8	bent067
corpus\bera001.txt	19	bera001
corpus\berc004.txt	0	berc004
corpus\berc010.txt	0	berc010
corpus\berc066.txt	30	berc066
corpus\berd002.txt	1	berd002
corpus\bere001.txt	3	bere001
corpus\bere005.txt	12	bere005
corpus\bere007.txt	16	bere007
corpus\berg004.txt	3	berg004
corpus\berg006.txt	3	berg006
corpus\berg013.txt	-1	berg013
corpus\berg018.txt	-1	berg018
corpus\berg023.txt	0	berg023
corpus\berg024.txt	2	berg024
corpus\berg025.txt	0	berg025
corpus\berg027.txt	0	berg027
corpus\berg028.txt	0	berg028
corpus\berg033.txt	0	berg033
corpus\berg042.txt	2	berg042
corpus\berg043.txt	2	berg043
corpus\berg046.txt	-1	berg046
corpus\berg047.txt	0	berg047
corpus\berg048.txt	-1	berg048
corpus\berg056.txt	0	berg056
corpus\berg058.txt	0	berg058
corpus\berg060.txt	0	berg060
corpus\berg073.txt	12	berg073
corpus\berg075.txt	-1	berg075
corpus\berg076.txt	-1	berg076
corpus\berg078.txt	-1	berg078
corpus\berg081.txt	-1	berg081
corpus\berg090.txt	1	berg090
corpus\berg091.txt	-1	berg091
corpus\berg096.txt	-1	berg096
corpus\berg097.txt	0	berg097
corpus\berg098.txt	1	berg098
corpus\berg102.txt	-1	berg102
corpus\berg105.txt	11	berg105
corpus\berg108.txt	40	berg108
corpus\berg113.txt	2	berg113
corpus\berg114.txt	2	berg114
corpus\berg172.txt	-1	berg172
corpus\berg240.txt	-1	berg240
corpus\berg244.txt	-1	berg244
corpus\berg296.txt	11	berg296
corpus\berg309.txt	-1	berg309
corpus\berg311.txt	26	berg311
corpus\berg313.txt	2	berg313
corpus\berg380.txt	20	berg380
corpus\berg426.txt	0	berg426
corpus\berg474.txt	0	berg474
corpus\beri001.txt	0	beri001
corpus\beri007.txt	-1	beri007
corpus\berk003.txt	0	berk003
corpus\berk011.txt	0	berk011
corpus\berk022.txt	36	berk022
corpus\berk023.txt	1	berk023
corpus\berk067.txt	0	berk067
corpus\berk081.txt	-1	berk081
corpus\berl001.txt	-1	berl001
corpus\berl006.txt	37	berl006
corpus\bern011.txt	13	bern011
corpus\bern012.txt	-1	bern012
corpus\bern013.txt	1	bern013
corpus\bern018.txt	0	bern018
corpus\bern052.txt	-1	bern052
corpus\bern075.txt	-1	bern075
corpus\bern076.txt	-1	bern076
corpus\bern099.txt	-1	bern099
corpus\berr004.txt	-1	berr004
corpus\bers001.txt	-1	bers001
corpus\bert004.txt	-1	bert004
corpus\bert017.txt	2	bert017
corpus\bert045.txt	0	bert045
corpus\bert046.txt	0	bert046
corpus\bert047.txt	2	bert047
corpus\bert060.txt	8	bert060
corpus\bert064.txt	-1	bert064
corpus\bert084.txt	0	bert084
corpus\berv001.txt	9	berv001
corpus\besa001.txt	2	besa001
corpus\besa004.txt	0	besa004
corpus\besi001.txt	-1	besi001
corpus\besn001.txt	0	besn001
corpus\bess001.txt	-1	bess001
corpus\bess009.txt	2	bess009
corpus\best004.txt	20	best004
corpus\best007.txt	-1	best007
corpus\beth004.txt	-1	beth004
corpus\beth012.txt	35	beth012
corpus\bett006.txt	12	bett006
corpus\betz001.txt	0	betz001
corpus\betz003.txt	-1	betz003
corpus\betz005.txt	0	betz005
corpus\beug001.txt	0	beug001
corpus\beug002.txt	2	beug002
corpus\beuk002.txt	1	beuk002
corpus\beuk022.txt	2	beuk022
corpus\beum005.txt	0	beum005
corpus\beun003.txt	0	beun003
corpus\beun008.txt	0	beun008
corpus\beur002.txt	0	beur002
corpus\beus002.txt	-1	beus002
corpus\beus008.txt	-1	beus008
corpus\beus009.txt	4	beus009
corpus\beve004.txt	0	beve004
corpus\beve012.txt	1	beve012
corpus\beye008.txt	0	beye008
corpus\beye042.txt	-1	beye042
corpus\beze002.txt	-1	beze002
corpus\beze005.txt	52	beze005
corpus\beze006.txt	4	beze006
corpus\bezo001.txt	-1	bezo001
corpus\bick001.txt	-1	bick001
corpus\bieb002.txt	16	bieb002
corpus\bieg006.txt	2	bieg006
corpus\biem003.txt	-1	biem003
corpus\bien003.txt	5	bien003
corpus\bier001.txt	-1	bier001
corpus\bier006.txt	-1	bier006
corpus\bier009.txt	5	bier009
corpus\bier010.txt	2	bier010
corpus\bier021.txt	2	bier021
corpus\bier029.txt	-1	bier029
corpus\bies004.txt	-1	bies004
corpus\biev001.txt	-1	biev001
corpus\biez002.txt	-1	biez002
corpus\bie_003.txt	45	bie_003
corpus\bijl009.txt	1	bijl009
corpus\bijs001.txt	0	bijs001
corpus\bilc001.txt	0	bilc001
