filename	topic	textID
corpus_final_ids\DIE_1901_38.txt	1	DIE_1901_38
corpus_final_ids\DIE_1901_39.txt	25	DIE_1901_39
corpus_final_ids\DIE_1901_4.txt	152	DIE_1901_4
corpus_final_ids\DIE_1901_40.txt	0	DIE_1901_40
corpus_final_ids\DIE_1901_41.txt	0	DIE_1901_41
corpus_final_ids\DIE_1901_42.txt	0	DIE_1901_42
corpus_final_ids\DIE_1901_43.txt	0	DIE_1901_43
corpus_final_ids\DIE_1901_44.txt	16	DIE_1901_44
corpus_final_ids\DIE_1901_45.txt	1	DIE_1901_45
corpus_final_ids\DIE_1901_46.txt	-1	DIE_1901_46
corpus_final_ids\DIE_1901_47.txt	-1	DIE_1901_47
corpus_final_ids\DIE_1901_48.txt	6	DIE_1901_48
corpus_final_ids\DIE_1901_49.txt	0	DIE_1901_49
corpus_final_ids\DIE_1901_5.txt	-1	DIE_1901_5
corpus_final_ids\DIE_1901_50.txt	0	DIE_1901_50
corpus_final_ids\DIE_1901_51.txt	-1	DIE_1901_51
corpus_final_ids\DIE_1901_52.txt	-1	DIE_1901_52
corpus_final_ids\DIE_1901_53.txt	0	DIE_1901_53
corpus_final_ids\DIE_1901_54.txt	0	DIE_1901_54
corpus_final_ids\DIE_1901_55.txt	-1	DIE_1901_55
corpus_final_ids\DIE_1901_56.txt	1	DIE_1901_56
corpus_final_ids\DIE_1901_57.txt	-1	DIE_1901_57
corpus_final_ids\DIE_1901_58.txt	-1	DIE_1901_58
corpus_final_ids\DIE_1901_59.txt	-1	DIE_1901_59
corpus_final_ids\DIE_1901_6.txt	0	DIE_1901_6
corpus_final_ids\DIE_1901_60.txt	-1	DIE_1901_60
corpus_final_ids\DIE_1901_61.txt	0	DIE_1901_61
corpus_final_ids\DIE_1901_62.txt	70	DIE_1901_62
corpus_final_ids\DIE_1901_63.txt	0	DIE_1901_63
corpus_final_ids\DIE_1901_64.txt	0	DIE_1901_64
corpus_final_ids\DIE_1901_65.txt	67	DIE_1901_65
corpus_final_ids\DIE_1901_66.txt	-1	DIE_1901_66
corpus_final_ids\DIE_1901_67.txt	1	DIE_1901_67
